ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,Reported1st case,"Serious,Critical",TotalCases,TotalDeaths,TotalRecovered,TotCasesper1Mpop
537486,World,4.4,920.0,27.0,Jan 10,26707.0,723279,33993.0,151800.0,92.8
135593,USA,8.0,177.0,1.0,Jan 20 ,2970.0,142637,2485.0,4559.0,431.0
73880,Italy,178.0,,,Jan 29 ,3906.0,97689,10779.0,13030.0,1616.0
58598,Spain,146.0,,,Jan 30 ,4165.0,80110,6803.0,14709.0,1713.0
52683,Germany,6.0,,,Jan 26 ,1979.0,62435,541.0,9211.0,745.0
30366,France,40.0,,,Jan 23 ,4632.0,40174,2606.0,7202.0,615.0
23278,Iran,31.0,,,Feb 18 ,3206.0,38309,2640.0,12391.0,456.0
18159,UK,18.0,,,Jan 30 ,163.0,19522,1228.0,135.0,288.0
12934,Switzerland,35.0,,,Feb 24 ,301.0,14829,300.0,1595.0,1713.0
9845,Netherlands,45.0,,,Feb 26 ,972.0,10866,771.0,250.0,634.0
9046,Belgium,37.0,,,Feb 03 ,867.0,10836,431.0,1359.0,935.0
4275,S. Korea,3.0,78.0,6.0,Jan 19 ,59.0,9661,158.0,5228.0,188.0
8981,Turkey,2.0,,,Mar 09 ,568.0,9217,131.0,105.0,109.0
8223,Austria,10.0,,,Feb 24 ,187.0,8788,86.0,479.0,976.0
5682,Canada,2.0,,,Jan 24 ,120.0,6320,65.0,573.0,167.0
5800,Portugal,12.0,,,Mar 01 ,89.0,5962,119.0,43.0,585.0
4251,Norway,5.0,,,Feb 25 ,91.0,4284,26.0,7.0,790.0
4114,Brazil,0.6,,,Feb 24 ,296.0,4256,136.0,6.0,20.0
4100,Israel,2.0,,,Feb 20 ,74.0,4247,15.0,132.0,491.0
3901,Australia,0.7,,1.0,Jan 24 ,28.0,4163,18.0,244.0,163.0
3574,Sweden,11.0,,,Jan 30 ,255.0,3700,110.0,16.0,366.0
2790,Czechia,1.0,,,Feb 29 ,45.0,2817,16.0,11.0,263.0
2564,Ireland,9.0,,,Feb 28 ,59.0,2615,46.0,5.0,530.0
2047,Malaysia,1.0,,,Jan 24 ,73.0,2470,35.0,388.0,76.0
2322,Denmark,12.0,,,Feb 26 ,113.0,2395,72.0,1.0,413.0
2057,Chile,0.4,,,Mar 02 ,7.0,2139,7.0,75.0,112.0
1889,Luxembourg,34.0,,,Feb 28 ,25.0,1950,21.0,40.0,3115.0
1863,Ecuador,3.0,,,Feb 28 ,58.0,1924,58.0,3.0,109.0
1388,Japan,0.4,,,Jan 14 ,56.0,1866,54.0,424.0,15.0
1833,Poland,0.6,,,Mar 03 ,3.0,1862,22.0,7.0,49.0
1566,Romania,2.0,,,Feb 25 ,31.0,1815,43.0,206.0,94.0
1554,Pakistan,0.06,,,Feb 25 ,11.0,1597,14.0,29.0,7.0
1462,Russia,0.05,,,Jan 30 ,8.0,1534,8.0,64.0,11.0
1288,Thailand,0.1,136.0,,Jan 12 ,11.0,1524,7.0,229.0,22.0
1305,Philippines,0.6,,,Jan 29 ,1.0,1418,71.0,42.0,13.0
1225,Saudi Arabia,0.2,,,Mar 01 ,12.0,1299,8.0,66.0,37.0
1107,Indonesia,0.4,,,Mar 01 ,,1285,114.0,64.0,5.0
1247,South Africa,0.03,,,Mar 04 ,7.0,1280,2.0,31.0,22.0
