date,cases,active,death
2020-02-28,1.0001,0,0
2020-02-29,1.0002,0,0
2020-03-01,1.0003,0,0
2020-03-02,1.0004,0,0
2020-03-03,1.0005,0,0
2020-03-04,6.0006,0,0
2020-03-05,6.0007,0,0
2020-03-06,6.0008,0,0
2020-03-07,6.0009,0,0
2020-03-08,6.0010,0,0
2020-03-09,6.0011,0,0
2020-03-10,9.0012,0,0
2020-03-11,9.0013,0,0
2020-03-12,12,0,0
2020-03-13,27.0001,0,0
2020-03-14,27.0002,0,0
2020-03-15,27.0003,0,0
2020-03-16,36.0001,0,0
2020-03-17,36.0002,0,0
2020-03-18,51.0001,0,0
2020-03-19,51.0002,0,0
2020-03-20,69,0,0
2020-03-21,76.0001,0,0
2020-03-22,76.0002,0,0
2020-03-23,81.0001,0,0
2020-03-24,81.0002,0,0
2020-03-25,86.0001,0,0
2020-03-26,86.0002,0,0
2020-03-27,94.0001,0,0
2020-03-28,94.0002,0,0
2020-03-29,94.0003,0,0
2020-03-30,152.0001,0,0
2020-03-31,152.0002,0,1
2020-04-01,163,0,2
2020-04-02,304,0,4
2020-04-03,351,294,4
2020-04-04,440,382,5
2020-04-05,562,502,8
2020-04-06,700,634,13
2020-04-07,861,794,13
2020-04-08,1066,976,13
2020-04-09,1486,1331,16
2020-04-10,1981,1793,19
2020-04-11,2226,2031,23
2020-04-12,2578,2349,26
2020-04-13,2919,2687,29
2020-04-14,3281,3045,33
2020-04-15,3728,3489,36.0
2020-04-16,4204,3961,40.0
2020-04-17,4779,4395,42.0
2020-04-18,5230,4795,45.0
2020-04-19,5723,5226,47.0
2020-04-20,6264,5699,51.0
2020-04-21,6723,6091,55.0
2020-04-22,7281,6454,58.0
2020-04-23,8022,7024,60.0
2020-04-24,8773,7590,63.0
2020-04-25,9590,7950,67.0
2020-04-26,10463,8696,72.0
2020-04-27,11289,9474,75.0
2020-04-28,12208,10136,79.0
2020-04-29,13181,11025,84.0
2020-04-30,14027,11552,89.0
2020-05-01,14917,11906,93.0
2020-05-02,15828,12614,97.0
2020-05-03,16705,13410,99.0
2020-05-04,17489,14127,103.0
2020-05-05,18350,14472,107.0
2020-05-06,19255,14755,112.0
