date,cases,active,death,tests
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,1,1,0,0
2020-02-02,1,1,0,0
2020-02-03,1,1,0,0
2020-02-04,1,1,0,0
2020-02-05,1,1,0,0
2020-02-06,1,1,0,0
2020-02-07,1,1,0,0
2020-02-08,1,1,0,0
2020-02-09,2,2,0,0
2020-02-10,2,2,0,0
2020-02-11,2,2,0,0
2020-02-12,2,2,0,0
2020-02-13,2,2,0,0
2020-02-14,2,2,0,0
2020-02-15,2,0,0,0
2020-02-16,2,0,0,0
2020-02-17,2,0,0,0
2020-02-18,2,0,0,0
2020-02-19,2,0,0,0
2020-02-20,2,0,0,0
2020-02-21,2,0,0,0
2020-02-22,2,0,0,0
2020-02-23,2,0,0,0
2020-02-24,2,0,0,0
2020-02-25,6,4,0,0
2020-02-26,13,11,0,0
2020-02-27,15,13,0,0
2020-02-28,32,30,0,0
2020-02-29,45,43,0,0
2020-03-01,84,82,0,0
2020-03-02,120,118,0,0
2020-03-03,165,162,1,0
2020-03-04,222,218,2,0
2020-03-05,259,254,3,0
2020-03-06,400,393,5,0
2020-03-07,500,460,10,0
2020-03-08,673,626,17,0
2020-03-09,1073,1013,28,0
2020-03-10,1695,1628,35,0
2020-03-11,2277,2040,54,0
2020-03-12,2277,2039,55,0
2020-03-13,5232,4906,133,0
2020-03-14,6391,5679,195,0
2020-03-15,7798,6992,289,0
2020-03-16,9942,9070,342,0
2020-03-17,11748,10187,533,0
2020-03-18,13910,12206,623,0
2020-03-19,17963,16026,830,0
2020-03-20,20410,17779,1043,0
2020-03-21,25374,21874,1375,0
2020-03-22,28768,24421,1772,0
2020-03-23,35136,30250,2311,0
2020-03-24,39885,33283,2808,0
2020-03-25,49515,40501,3647,0
2020-03-26,57786,46406,4365,0
2020-03-27,65719,51224,5138,0
2020-03-28,73235,54968,5982,0
2020-03-29,80110,58598,6803,0
2020-03-30,87956,63460,7716,0
2020-03-31,95923,68200,8464,0
2020-04-01,104118,72084,9387,0
2020-04-02,112065,74974,10348,0
2020-04-03,119199,77488,11198,0
2020-04-04,126168,80002,11947,0
2020-04-05,131646,80925,12641,0
2020-04-06,136675,82897,13341,0
2020-04-07,141942,84689,14045,0
2020-04-08,148220,85407,14792,0
2020-04-09,153222,85610,15447,0
2020-04-10,158273,86524,16081,0
2020-04-11,163027,87312,16606,0
2020-04-12,166831,87231,17209,0
2020-04-13,170099,87616,17756,930230
2020-04-14,172541,86981,18056,930230
2020-04-15,177644,88083,18708,930230
2020-04-16,184948,90836,19315,930230
2020-04-17,190839,96040,20002,930230
2020-04-18,191726,96886,20043,930230
2020-04-19,198674,100864,20453,930230
2020-04-20,200210,98771,20852,930230
2020-04-21,204178,100382,21282,930230
2020-04-22,208389,100757,21717,930230
2020-04-23,213024,101617,22157,1035522
2020-04-24,202990,88111,22524,1035522
2020-04-25,205905,87295,22902,1035522
2020-04-26,207634,86072,23190,1035522
2020-04-27,209465,85069,23521,1035522
2020-04-28,210773,84403,23822,1035522
2020-04-29,212917,79695,24275,1035522
2020-04-30,213435,76842,24543,1351130
2020-05-01,215216,78623,24543,1351130
2020-05-02,216582,74234,25100,1351130
2020-05-03,217466,73300,25264,1351130
2020-05-04,218011,71240,25428,1351130
2020-05-05,219329,70230,25613,1351130
2020-05-06,220325,68466,25857,1351130
2020-05-07,221447,66866,26070,1625211
2020-05-08,222857,65410,26299,1625211
2020-05-09,223578,63148,26478,1625211
2020-05-10,224350,61563,26621,1625211
2020-05-11,227436,63553,26744,1625211
2020-05-12,228030,62130,26920,1625211
2020-05-13,228691,60764,27104,1625211
2020-05-14,229540,58845,27321,1919411
2020-05-15,230183,57941,27459,1919411
2020-05-16,230698,56689,27563,1919411
2020-05-17,230698,56689,27563,1919411
2020-05-18,231606,53521,27709,1919411
2020-05-19,232037,53883,27778,1919411
2020-05-20,232555,54291,27888,1919411
2020-05-21,233037,54721,27940,2221497
2020-05-22,234824,55820,28628,2221497
2020-05-23,235290,56236,28678,2221497
2020-05-24,235772,56644,28752,2221497
2020-05-25,235400,58190,26834,2221497
2020-05-26,236259,58766,27117,2221497
2020-05-27,236259,58766,27117,2221497
2020-05-28,237906,60411,27119,2536234
2020-05-29,238564,61067,27121,2536234
2020-05-30,239228,61727,27125,2536234
2020-05-31,239479,61976,27127,2536234
2020-06-01,239638,62135,27127,2536234
2020-06-02,239932,62429,27127,2536234
2020-06-03,240326,62822,27128,2536234
2020-06-04,240660,63151,27133,2822880
2020-06-05,240978,63468,27134,2822880
2020-06-06,241310,63799,27135,2822880
2020-06-07,241550,64038,27136,2822880
2020-06-08,241717,64205,27136,2822880
2020-06-09,241966,64454,27136,2822880
2020-06-10,242280,64768,27136,2822880
2020-06-11,242707,65195,27136,3061738
2020-06-12,243209,65697,27136,3061738
2020-06-13,243605,66093,27136,3061738
2020-06-14,243928,66416,27136,3061738
2020-06-15,244109,66597,27136,3061738
2020-06-16,244328,66816,27136,3061738
2020-06-17,244683,67171,27136,3061738
2020-06-18,245268,67756,27136,3290388
2020-06-19,245575,66884,28315,3290388
2020-06-20,245938,67240,28322,3290388
2020-06-21,246272,67573,28323,3290388
2020-06-22,246504,67804,28324,3290388
2020-06-23,246752,68051,28325,3290388
2020-06-24,247086,68383,28327,3290388
2020-06-25,247486,68780,28330,3470130
2020-06-26,247905,69191,28338,3470130
2020-06-27,248469,69752,28341,3470130
2020-06-28,248770,70051,28343,3470130
2020-06-29,248970,70248,28346,3470130
2020-06-30,249271,70540,28355,3470130
2020-07-01,249659,70919,28364,3470130
2020-07-02,250103,71359,28368,3644458
2020-07-03,250545,71784,28385,3644458
2020-07-04,250545,71784,28385,3644458
2020-07-05,250545,71784,28385,3644458
2020-07-06,251789,73025,28388,3644458
2020-07-07,252130,73362,28392,3644458
2020-07-08,252513,73741,28396,3644458
2020-07-09,253056,74279,28401,3849701
2020-07-10,253908,75129,28403,3849701
2020-07-11,253908,75129,28403,3849701
2020-07-12,253908,75129,28403,3849701
2020-07-13,255953,77171,28406,3849701
2020-07-14,256619,77834,28409,3849701
2020-07-15,257494,78705,28413,3849701
2020-07-16,258855,80063,28416,4073664
2020-07-17,260255,81459,28420,4073664
2020-07-18,260255,81459,28420,4073664
2020-07-19,260255,81459,28420,4073664
2020-07-20,264836,86038,28422,4073664
2020-07-21,266194,87394,28424,4073664
2020-07-22,267551,88749,28426,4073664
2020-07-23,270166,91361,28429,4347022
2020-07-24,272421,93613,28432,4347022
2020-07-25,272421,93613,28432,4347022
2020-07-26,272421,93613,28432,4347022
2020-07-27,278782,99972,28434,4347022
2020-07-28,280610,101798,28436,4347022
2020-07-29,282641,103824,28441,4347022
2020-07-30,285430,106611,28443,4652493
2020-07-31,288522,109701,28445,4652493
2020-08-01,288522,109701,28445,4652493
2020-08-02,288522,109701,28445,4652493
2020-08-03,297054,118206,28472,4652493
2020-08-04,302814,123940,28498,4652493
2020-08-05,305767,126892,28499,4652493
2020-08-06,309855,130979,28500,4983935
2020-08-07,314362,135483,28503,4983935
2020-08-08,314362,135483,28503,4983935
2020-08-09,314362,135483,28503,4983935
2020-08-10,322980,144028,28576,4983935
2020-08-11,326612,147655,28581,4983935
2020-08-12,329784,150829,28579,4983935
2020-08-13,337334,158353,28605,5367311
2020-08-14,342813,163820,28617,5367311
2020-08-15,342813,163820,28617,5367311
2020-08-16,342813,163820,28617,5367311
2020-08-17,359082,180060,28646,5367311
2020-08-18,364196,185150,28670,5367311
2020-08-19,370867,191694,28797,5367311
2020-08-20,377906,198717,28813,5849939
2020-08-21,386054,206840,28838,5849939
2020-08-22,386054,206840,28838,5849939
2020-08-23,386054,206840,28838,5849939
2020-08-24,405436,226188,28872,5849939
2020-08-25,412553,233253,28924,5849939
2020-08-26,419849,240502,28971,5849939
2020-08-27,429507,250135,28996,6416533
2020-08-28,439286,259899,29011,6416533
2020-08-29,439286,259899,29011,6416533
2020-08-30,439286,259899,29011,6416533
2020-08-31,462858,283388,29094,6416533
2020-09-01,470973,291445,29152,6416533
2020-09-02,479554,299984,29194,6416533
2020-09-03,488513,308903,29234,7042795
2020-09-04,498989,319195,29418,7042795
2020-09-05,498989,319195,29418,7042795
2020-09-06,498989,319195,29418,7042795
2020-09-07,525549,345657,29516,7042795
2020-09-08,534513,354543,29594,7042795
2020-09-09,543379,363375,29628,7042795
2020-09-10,554143,374068,29699,7899400
2020-09-11,566326,386203,29747,7899400
2020-09-12,566326,386203,29747,7899400
2020-09-13,566326,386203,29747,7899400
2020-09-14,593730,413506,29848,7899400
2020-09-15,603167,422787,30004,7899400
2020-09-16,614360,433741,30243,7899400
2020-09-17,625651,444870,30405,8582722
2020-09-18,640040,459169,30495,8582722
2020-09-19,640040,459169,30495,8582722
