date;case;active
2020-01-23;1;0
2020-01-24;2;0
2020-01-24;3;0
;;0
2020-01-26;4;0
2020-01-27;5;0
2020-01-28;6;0
2020-01-28;7;0
2020-01-29;8;0
;;0
;;0
2020-01-29;9;0
;;0
;;0
2020-01-29;10;0
2020-01-30;11;0
2020-01-30;12;0
2020-01-30;13;0
2020-01-31;14;0
2020-01-31;15;0
2020-01-31;16;0
2020-02-01;17;0
2020-02-01;18;0
2020-02-04;19;0
2020-02-04;20;0
;;0
2020-02-04;21;0
;;0
2020-02-04;22;0
2020-02-04;23;0
2020-02-04;24;0
2020-02-05;25;0
;;0
2020-02-05;26;0
;;0
2020-02-05;27;0
;;0
2020-02-05;28;0
;;0
2020-02-06;29;0
;;0
2020-02-06;30;0
2020-02-07;31;0
2020-02-07;32;0
;;0
2020-02-07;33;0
2020-02-08;34;0
;;0
2020-02-08;35;0
;;0
2020-02-08;36;0
;;0
2020-02-08;37;0
;;0
2020-02-08;38;0
2020-02-08;39;0
2020-02-08;40;0
;;0
2020-02-09;41;0
2020-02-09;42;0
2020-02-09;43;0
2020-02-10;44;0
2020-02-10;45;0
2020-02-11;46;0
;;0
2020-02-11;47;0
2020-02-12;48;0
2020-02-12;49;0
;;0
2020-02-12;50;0
;;0
2020-02-13;51;0
2020-02-13;52;0
2020-02-13;53;0
;;0
2020-02-13;54;0
2020-02-13;55;0
;;0
2020-02-13;56;0
;;0
2020-02-13;57;0
2020-02-13;58;0
2020-02-14;59;0
;;0
;;0
2020-02-14;60;0
;;0
2020-02-14;61;0
;;0
2020-02-14;62;0
2020-02-14;63;0
;;0
;;0
2020-02-14;64;0
;;0
2020-02-14;65;0
2020-02-14;66;0
2020-02-14;67;0
;;0
2020-02-15;68;0
;;0
2020-02-15;69;0
2020-02-15;70;0
;;0
2020-02-15;71;0
;;0
2020-02-15;72;0
;;0
2020-02-16;73;0
;;0
2020-02-16;74;0
;;0
2020-02-16;75;0
2020-02-17;76;0
2020-02-17;77;0
;;0
2020-02-18;78;0
;;0
2020-02-18;79;0
;;0
2020-02-18;80;0
;;0
2020-02-18;81;0
2020-02-19;82;0
2020-02-19;83;0
;;0
2020-02-19;84;0
;;0
2020-02-20;85;0
;;0
2020-02-21;86;0
;;0
2020-02-22;87;0
;;0
2020-02-22;88;0
2020-02-22;89;0
;;0
2020-02-24;90;0
2020-02-25;91;0
;;0
2020-02-26;92;0
2020-02-26;93;0
2020-02-27;94;0
2020-02-27;95;0
;;0
2020-02-27;96;0
;;0
2020-02-28;97;0
;;0
2020-02-28;98;0
;;0
2020-02-29;99;0
;;0
2020-02-29;100;0
;;0
2020-02-29;101;0
;;0
;;0
2020-02-29;102;0
;;0
2020-03-01;103;0
;;0
;;0
2020-03-01;104;0
;;0
;;0
2020-03-01;105;0
2020-03-01;106;0
;;0
2020-03-02;107;0
;;0
2020-03-02;108;0
;;0
;;0
2020-03-03;109;0
;;0
2020-03-03;110;0
;;0
2020-03-04;111;0
;;0
2020-03-04;112;0
;;0
;;0
2020-03-05;113;0
;;0
;;0
2020-03-05;114;0
;;0
;;0
2020-03-05;115;0
;;0
;;0
2020-03-05;116;0
;;0
2020-03-05;117;0
;;0
2020-03-06;118;0
;;0
2020-03-06;119;0
;;0
2020-03-06;120;0
2020-03-06;121;0
2020-03-06;122;0
;;0
2020-03-06;123;0
;;0
;;0
2020-03-06;124;0
;;0
2020-03-06;125;0
;;0
2020-03-06;126;0
2020-03-06;127;0
;;0
2020-03-06;128;0
;;0
2020-03-06;129;0
;;0
2020-03-06;130;0
;;0
2020-03-07;131;0
;;0
2020-03-07;132;0
;;0
;;0
2020-03-07;133;0
2020-03-07;134;0
;;0
2020-03-07;135;0
;;0
2020-03-07;136;0
;;0
2020-03-07;137;0
2020-03-07;138;0
;;0
;;0
2020-03-08;139;0
;;0
2020-03-08;140;0
;;0
2020-03-08;141;0
;;0
2020-03-08;142;0
;;0
2020-03-08;143;0
;;0
2020-03-08;144;0
;;0
2020-03-08;145;0
;;0
2020-03-08;146;0
;;0
2020-03-08;147;0
2020-03-08;148;0
;;0
2020-03-08;149;0
;;0
2020-03-08;150;0
;;0
2020-03-09;151;0
;;0
2020-03-09;152;0
;;0
2020-03-09;153;0
;;0
2020-03-09;154;0
;;0
2020-03-09;155;0
;;0
2020-03-09;156;0
2020-03-09;157;0
;;0
2020-03-09;158;0
;;0
2020-03-09;159;0
;;0
2020-03-09;160;0
;;0
2020-03-10;161;0
;;0
2020-03-10;162;0
;;0
2020-03-10;163;0
;;0
2020-03-10;164;0
;;0
2020-03-10;165;0
;;0
;;0
2020-03-10;166;0
;;0
;;0
2020-03-11;167;0
;;0
2020-03-11;168;0
2020-03-11;169;0
;;0
;;0
2020-03-11;170;0
;;0
2020-03-11;171;0
;;0
2020-03-11;172;0
;;0
;;0
2020-03-11;173;0
;;0
;;0
2020-03-11;174;0
;;0
2020-03-11;175;0
;;0
;;0
2020-03-11;176;0
;;0
2020-03-11;177;0
;;0
2020-03-11;178;0
;;0
2020-03-12;179;0
;;0
2020-03-12;180;0
;;0
2020-03-12;181;0
;;0
2020-03-12;182;0
;;0
2020-03-12;183;0
;;0
;;0
2020-03-12;184;0
;;0
2020-03-12;185;0
;;0
2020-03-12;186;0
;;0
;;0
2020-03-12;187;0
;;0
2020-03-13;188;0
;;0
2020-03-13;189;0
;;0
;;0
2020-03-13;190;0
;;0
2020-03-13;191;0
;;0
;;0
2020-03-13;192;0
;;0
2020-03-13;193;0
;;0
2020-03-13;194;0
;;0
2020-03-13;195;0
;;0
2020-03-13;196;0
;;0
2020-03-13;197;0
;;0
;;0
2020-03-13;198;0
2020-03-13;199;0
;;0
;;0
2020-03-13;200;0
2020-03-14;201;0
2020-03-14;202;0
;;0
2020-03-14;203;0
;;0
2020-03-14;204;0
;;0
2020-03-14;205;0
;;0
;;0
2020-03-14;206;0
;;0
2020-03-14;207;0
;;0
2020-03-14;208;0
;;0
2020-03-14;209;0
;;0
;;0
2020-03-14;210;0
;;0
2020-03-14;211;0
2020-03-14;212;0
;;0
2020-03-15;213;0
;;0
2020-03-15;214;0
;;0
2020-03-15;215;0
;;0
;;0
2020-03-15;216;0
;;0
;;0
2020-03-15;217;0
;;0
2020-03-15;218;0
2020-03-15;219;0
;;0
2020-03-15;220;0
;;0
;;0
2020-03-15;221;0
;;0
;;0
2020-03-15;222;0
;;0
;;0
2020-03-15;223;0
;;0
2020-03-15;224;0
;;0
2020-03-15;225;0
;;0
2020-03-15;226;0
;;0
2020-03-16;227;0
;;0
;;0
2020-03-16;228;0
2020-03-16;229;0
;;0
2020-03-16;230;0
;;0
;;0
2020-03-16;231;0
;;0
2020-03-16;232;0
;;0
2020-03-16;233;0
;;0
2020-03-16;234;0
2020-03-16;235;0
;;0
2020-03-16;236;0
;;0
2020-03-16;237;0
2020-03-16;238;0
;;0
2020-03-16;239;0
;;0
2020-03-16;240;0
;;0
2020-03-16;241;0
;;0
2020-03-16;242;0
;;0
2020-03-16;243;0
;;0
;;0
2020-03-17;244;0
;;0
;;0
2020-03-17;245;0
;;0
2020-03-17;246;0
;;0
2020-03-17;247;0
;;0
2020-03-17;248;0
2020-03-17;249;0
2020-03-17;250;0
2020-03-17;251;0
2020-03-17;252;0
2020-03-17;253;0
2020-03-17;254;0
2020-03-17;255;0
2020-03-17;256;0
2020-03-17;257;0
2020-03-17;258;0
2020-03-17;259;0
2020-03-17;260;0
2020-03-17;261;0
2020-03-17;262;0
2020-03-17;263;0
;;0
2020-03-17;264;0
2020-03-17;265;0
2020-03-17;266;0
;;0
2020-03-18;267;0
2020-03-18;268;0
2020-03-18;269;0
2020-03-18;270;0
;;0
2020-03-18;271;0
;;0
2020-03-18;272;0
;;0
2020-03-18;273;0
2020-03-18;274;0
2020-03-18;275;0
2020-03-18;276;0
2020-03-18;277;0
2020-03-18;278;0
2020-03-18;279;0
2020-03-18;280;0
2020-03-18;281;0
2020-03-18;282;0
2020-03-18;283;0
;;0
2020-03-18;284;0
2020-03-18;285;0
2020-03-18;286;0
2020-03-18;287;0
;;0
2020-03-18;288;0
2020-03-18;289;0
2020-03-18;290;0
2020-03-18;291;0
2020-03-18;292;0
2020-03-18;293;0
2020-03-18;294;0
2020-03-18;295;0
2020-03-18;296;0
2020-03-18;297;0
2020-03-18;298;0
2020-03-18;299;0
;;0
2020-03-18;300;0
;;0
2020-03-18;301;0
2020-03-18;302;0
2020-03-18;303;0
2020-03-18;304;0
2020-03-18;305;0
;;0
2020-03-18;306;0
2020-03-18;307;0
2020-03-18;308;0
;;0
2020-03-18;309;0
;;0
2020-03-18;310;0
2020-03-18;311;0
2020-03-18;312;0
2020-03-18;313;0
2020-03-19;314;0
2020-03-19;315;0
2020-03-19;316;0
2020-03-19;317;0
2020-03-19;318;0
2020-03-19;319;0
;;0
2020-03-19;320;0
2020-03-19;321;0
2020-03-19;322;0
2020-03-19;323;0
2020-03-19;324;0
2020-03-19;325;0
2020-03-19;326;0
2020-03-19;327;0
2020-03-19;328;0
;;0
2020-03-19;329;0
;;0
2020-03-19;330;0
2020-03-19;331;0
2020-03-19;332;0
2020-03-19;333;0
2020-03-19;334;0
2020-03-19;335;0
2020-03-19;336;0
2020-03-19;337;0
2020-03-19;338;0
2020-03-19;339;0
;;0
2020-03-19;340;0
;;0
2020-03-19;341;0
2020-03-19;342;0
2020-03-19;343;0
2020-03-19;344;0
2020-03-19;345;0
;;0
