date,cases,active,death
2020-03-03,1,0,
2020-03-04,3,0,
2020-03-05,4,0,
2020-03-06,5,0,
2020-03-07,7,0,
2020-03-08,11,0,
2020-03-09,15,0,
2020-03-10,20,0,
2020-03-11,27,0,
2020-03-12,39,0,
2020-03-13,51,0,
2020-03-14,72,0,
2020-03-15,88,0,
2020-03-16,183,0,
2020-03-17,236,0,
2020-03-18,279,0,
2020-03-19,401,0,
2020-03-20,509,0,
2020-03-21,630,0,
2020-03-22,741,0,
2020-03-23,874,0,
2020-03-24,1080,0,
2020-03-25,1337,0,
2020-03-26,1529,0,
2020-03-27,1885,0,
2020-03-28,2235,0,
2020-03-29,2504,0,
2020-03-30,2867,0,
2020-03-31,3205,0,
2020-04-01,3548,0,
2020-04-02,3985,0,
2020-04-03,4375,3288,
2020-04-04,4871,3606,
2020-04-05,5234,3819,
2020-04-06,5637,4050,
2020-04-07,5989,4175,
2020-04-08,6492,4383,
2020-04-09,6991,4641,
2020-04-10,7610,4865,
2020-04-11,8109,4990,
2020-04-12,8444,5074,
2020-04-13,8809,5076,
2020-04-14,9268,5179,
2020-04-15,9685,5242,94
2020-04-16,10310,5403,105
2020-04-17,10831,5515,116
2020-04-18,11390,5569,126
2020-04-19,11809,5617,133
2020-04-20,12299,5692,139
2020-04-21,12679,5716,147
2020-04-22,13222,5750,160
2020-04-23,13826,5840,168
2020-04-24,14404,5805,174
2020-04-25,15050,5931,181
2020-04-26,15604,6118,189
2020-04-27,16168,6288,198
2020-04-28,16814,6448,207
2020-04-29,17423,6862,216
2020-04-30,18755,7216,227
2020-05-01,19908,7756,234
2020-05-02,21578,8616,247
2020-05-03,23015,9362,260
2020-05-04,24162,9958,270
2020-05-05,25769,11031,275
2020-05-06,26977,11578,281
2020-05-07,28771,12632,285
2020-05-08,30399,13518,294
2020-05-09,31858,14248,304
2020-05-10,33786,15442,312
2020-05-11,35187,16135,323
2020-05-12,37127,17261,335
2020-05-13,40240,19170,346
2020-05-14,43352,21017,368
2020-05-15,46280,22534,394
2020-05-16,48487,22993,421
2020-05-17,51241,24118,450
2020-05-18,53907,25416,478
2020-05-19,58027,27563,509
2020-05-20,62753,30569,544
2020-05-21,67392,33000,589
2020-05-22,72396,35885,630
2020-05-23,76534,38174,673
2020-05-24,80875,40236,718
2020-05-25,86604,43934,761
2020-05-26,91243,46240,806
2020-05-27,96308,47908,841
2020-05-28,101755,49903,890
2020-05-29,106079,51096,944
2020-05-30,111018,53430,997
2020-05-31,116671,55907,1054
2020-06-01,123074,59100,1113
2020-06-02,127202,21325,1188
2020-06-03,132986,21605,1275
2020-06-04,138445,21305,1356
2020-06-05,143369,25420,1448
2020-06-06,149506,30573,1541
2020-06-07,157005,36329,2190
2020-06-08,162501,40951,2264
2020-06-09,167081,44845,2283
2020-06-10,173795,24201,2475
2020-06-11,180344,25000,2648
2020-06-12,188249,26618,2870
2020-06-13,195867,26958,3101
2020-06-14,203987,27266,3323
2020-06-15,210006,27282,3362
2020-06-16,215871,24834,3383
2020-06-17,220628,24602,3615
2020-06-18,225103,34821,3841

2020-06-19,231393,35809,4093.0
2020-06-20,236748,35844,4295.0
2020-06-21,242355,37307,4479.0
2020-06-22,246963,37064,4502.0
2020-06-23,250767,35692,4505.0
2020-06-24,254416,34592,4731.0
2020-06-25,259064,34834,4903.0
2020-06-26,263360,34861,5068.0
2020-06-27,267766,34364,5347.0
2020-06-28,271982,34263,5509.0
2020-06-29,275999,34270,5575.0
2020-06-30,279393,32476,5688.0
2020-07-01,282043,30847,5753.0
2020-07-02,284541,29374,5920.0
2020-07-03,288089,28695,6051.0
2020-07-04,291847,28210,6192.0
2020-07-05,295532,28192,6308.0
2020-07-06,298557,27802,6384.0
2020-07-07,301019,26340,6434.0
2020-07-08,303083,24807,6573.0
2020-07-09,306216,24612,6682.0
2020-07-10,309274,24440,6781.0
2020-07-11,312029,24034,6881.0
2020-07-12,315041,24160,6979.0
2020-07-13,317657,24077,7024.0
2020-07-14,319493,23204,7069.0
2020-07-15,321205,21934,7186.0
2020-07-16,323698,21107,7290.0
2020-07-17,326539,21378,8347.0
2020-07-18,328846,20952,8445.0
2020-07-19,330930,20633,8503.0
2020-07-20,333029,20404,8633.0
2020-07-21,334683,19190,8677.0
2020-07-22,336402,18439,8722.0
2020-07-23,338759,18490,8838.0
2020-07-24,341304,18694,8914.0
2020-07-25,343592,18403,9020.0
2020-07-26,345790,18583,9112.0
